CNTSTUID,NatCen,PV1MATH,PV1READ,PV1SCIE,Nivel,Modalidad,Sostenimiento,W_FSTUWT
48401021,048400,333.71,371.197,425.754,1,1,1,339.2426
48401048,048400,318.533,303.699,313.208,1,1,1,287.2054
48401051,048400,529.103,521.979,528.703,1,1,1,180.5201
48401089,048400,530.013,515.339,493.753,1,1,1,281.1933
48401093,048400,216.639,336.356,305.948,1,1,1,205.0766
48401105,048400,329.192,308.568,282.712,1,1,1,143.8677
48401118,048400,358.937,448.753,379.982,1,1,1,195.8831
48401119,048400,378.503,393.496,344.343,1,1,1,142.0532
48401145,048400,459.745,492.128,480.894,1,1,1,110.5299
48401148,048400,354.364,390.745,384.843,1,1,1,251.6941
48401155,048400,466.615,376.225,364.06,1,1,1,195.8831
48401168,048400,390.487,398.16,448.181,1,1,1,240.0164
48401184,048400,380.882,366.333,411.997,1,1,1,158.9487
48401187,048400,290.237,252.441,316.249,1,1,1,190.3523
48401192,048400,435.952,466.952,441.776,1,1,1,110.5299
48401197,048400,323.044,418.312,331.05,1,1,1,153.9643
48401211,048400,561.116,541.23,521.541,1,1,1,290.7794
48401213,048400,471.099,479.539,476.561,1,1,1,140.2333
48401235,048400,283.243,356.214,296.181,1,1,1,141.4692
48401241,048400,287.731,288.843,328.86,1,1,1,153.9643
48401259,048400,362.604,355.85,384.482,1,1,1,203.922
48401260,048400,413.255,407.078,435.087,1,1,1,141.753
48401267,048400,382.58,413.075,428.461,1,1,1,162.0677
48401284,048400,252.133,281.309,306.116,1,1,1,300.7985
48401318,048400,465.795,509.602,501.616,1,1,1,190.8042
48401321,048400,308.699,342.176,379.926,1,1,1,141.753
48401322,048400,342.428,296.839,318.044,1,1,1,153.9643
48401324,048400,266.185,443.865,362.274,1,1,1,249.1182
48401342,048400,390.544,367.908,380.48,1,1,1,142.0532
48401349,048400,474.015,480.732,485.428,1,1,1,180.5201
48401364,048400,488.573,537.196,542.105,1,1,1,281.1933
48401390,048400,465.498,466.908,451.552,1,1,1,153.9643
48401391,048400,340.319,226.465,282.16,1,1,1,162.9803
48401411,048400,372.968,416.51,366.314,1,1,1,316.875
48401412,048400,626.718,595.132,580.369,1,1,1,316.875
48401414,048400,361.775,417.163,343.515,1,1,1,141.753
48401433,048400,450.386,444.916,484.905,1,1,1,144.2076
48401452,048400,204.712,257.616,193.381,1,1,1,142.0532
48401457,048400,400.801,433.312,374.025,1,1,1,207.6887
48401458,048400,488.908,548.123,521.186,1,1,1,39.5505
48401471,048400,375.759,421.805,415.823,1,1,1,141.4692
48401473,048400,303.579,364.19,303.846,1,1,1,205.0766
48401484,048400,443.326,416.564,429.706,1,1,1,190.8042
48401525,048400,494.165,485.993,512.814,1,1,1,246.7407
48401531,048400,646.713,660.57,644.729,1,1,1,204.3627
48401535,048400,294.219,297.176,300.984,1,1,1,173.4277
48401543,048400,343.011,327.671,355.978,1,1,1,342.225
48401547,048400,331.123,288.485,341.031,1,1,1,190.3523
48401549,048400,488.499,497.415,513.307,1,1,1,99.57602
48401571,048400,396.773,320.77,390.264,1,1,1,153.9643
48401579,048400,500.412,420.353,457.05,1,1,1,313.3965
48401609,048400,285.426,238.231,305.684,1,1,1,165.7533
48401619,048400,432.983,469.325,414.765,1,1,1,140.2333
48401624,048400,411.533,419.504,425.377,1,1,1,143.8677
48401634,048400,450.169,451.065,451.249,1,1,1,204.3627
48401644,048400,280.835,294.272,286.282,1,1,1,204.4903
48401649,048400,376.549,346.603,400.843,1,1,1,35.03068
48401664,048400,437.337,431.452,442.791,1,1,1,135.3591
48401677,048400,509.821,514.161,459.139,1,1,1,159.048
48401684,048400,338.034,347.895,341.447,1,1,1,162.9803
48401708,048400,466.369,268.527,302.715,1,1,1,153.9643
48401724,048400,469.53,466.2,491.831,1,1,1,143.8677
48401727,048400,415.326,419.075,393.784,1,1,1,285.2242
48401738,048400,426.839,466.907,426.586,1,1,1,207.6887
48401754,048400,423.756,455.176,447.437,1,1,1,222.6493
48401758,048400,366.914,466.537,443.212,1,1,1,153.9643
48401766,048400,404.084,381.763,427.617,1,1,1,240.0164
48401770,048400,370.117,423.967,423.09,1,1,1,141.753
48401776,048400,362.679,352.808,364.949,1,1,1,135.3591
48401779,048400,371.045,349.886,369.896,1,1,1,153.9643
48401792,048400,268.476,325.791,313.026,1,1,1,285.2242
48401799,048400,404.333,460.812,434.078,1,1,1,212.6055
48401800,048400,406.774,480.028,478.938,1,1,1,99.57602
48401802,048400,517.794,445.641,470.918,1,1,1,157.4238
48401844,048400,312.677,490.24,409.964,1,1,1,342.225
48401852,048400,392.963,477.321,417.029,1,1,1,204.4903
48401861,048400,390.012,288.241,301.424,1,1,1,162.9803
48401862,048400,226.164,290.501,277.906,1,1,1,190.3523
48401863,048400,397.125,455.521,401.338,1,1,1,135.1097
48401881,048400,369.887,389.477,373.596,1,1,1,146.2412
48401886,048400,347.195,418.034,334.296,1,1,1,246.7407
48401896,048400,374.089,371.669,407.921,1,1,1,170.1711
48401900,048400,303.248,330.862,314.596,1,1,1,175.1241
48401902,048400,372.896,446.637,473.537,1,1,1,153.9643
48401905,048400,416.745,464.573,465.967,1,1,1,342.225
48401937,048400,381.22,417.901,365.382,1,1,1,304.0179
48401966,048400,312.29,345.598,365.993,1,1,1,342.225
48401990,048400,578.316,554.249,608.106,1,1,1,135.3591
48402006,048400,419.906,438.895,372.959,1,1,1,195.8831
48402007,048400,466.895,479.995,513.206,1,1,1,205.0766
48402031,048400,360.888,380.503,379.808,1,1,1,142.5717
48402034,048400,449.291,438.928,376.482,1,1,1,180.5201
48402046,048400,340.465,348.362,404.453,1,1,1,154.7279
48402047,048400,359.954,424.619,400.045,1,1,1,281.1933
48402077,048400,386.323,322.306,299.333,1,1,1,142.0532
48402082,048400,469.413,398.057,423.076,1,1,1,157.4238
48402084,048400,364.674,402.259,392.648,1,1,1,141.4692
48402085,048400,347.615,297.139,413.421,1,1,1,153.9643
48402124,048400,322.499,365.974,332.462,1,1,1,205.0766
48402157,048400,508.295,508.801,554,1,1,1,285.2242
48402161,048400,355.245,355.018,344.352,1,1,1,240.0164
48402162,048400,307.618,337.556,262.108,1,1,1,251.6941
48402200,048400,365.223,348.13,361.832,1,1,1,285.2242
48402206,048400,481.322,455.109,439.063,1,1,1,285.2242
48402210,048400,435.981,449.681,465.599,1,1,1,162.0677
48402216,048400,441.53,437.685,415.946,1,1,1,180.5201
48402218,048400,402.137,452.536,363.262,1,1,1,153.9643
48402239,048400,362.363,357.811,318.883,1,1,1,173.4277
48402246,048400,445.79,587.085,494.492,1,1,1,159.048
48402252,048400,370.919,390.459,343.349,1,1,1,304.0179
48402263,048400,403.34,445.723,445.436,1,1,1,153.9643
48402268,048400,306.526,450.799,377.841,1,1,1,222.6493
48402279,048400,387.916,388.574,369.394,1,1,1,99.96924
48402282,048400,317.559,287.205,290.868,1,1,1,181.5393
48402303,048400,446.241,414.509,423.184,1,1,1,124.7909
48402313,048400,239.556,299.594,267.462,1,1,1,142.0532
48402346,048400,426.586,403.581,418.203,1,1,1,153.9643
48402349,048400,378.193,429.455,399.914,1,1,1,140.2333
48402373,048400,359.246,365.033,362.416,1,1,1,285.2242
48402374,048400,375.52,411.247,356.774,1,1,1,207.6887
48402382,048400,441.618,376.444,402.289,1,1,1,240.0164
48402387,048400,399.934,486.202,483.974,1,1,1,240.0164
48402393,048400,385.197,396.101,357.334,1,1,1,304.0179
48402397,048400,273.342,273.005,252.934,1,1,1,142.0532
48402408,048400,363.57,339.894,380.505,1,1,1,252.4421
48402412,048400,272.324,393.762,265.136,1,1,1,170.1711
48402414,048400,420.345,440.04,433.669,1,1,1,99.96924
48402432,048400,390.179,376.448,336.934,1,1,1,287.2054
48402437,048400,355.47,452.953,408.262,1,1,1,285.2242
48402451,048400,378.434,322.14,343.088,1,1,1,207.6887
48402453,048400,324.308,374.195,352.064,1,1,1,143.8677
48402458,048400,297.039,274.502,238.545,1,1,1,173.4277
48402472,048400,268.88,246.609,305.768,1,1,1,173.4277
48402477,048400,356.927,435.097,398.138,1,1,1,247.2784
48402480,048400,369.392,418.355,414.287,1,1,1,153.9643
48402483,048400,464.337,445.158,466.945,1,1,1,285.3283
48402493,048400,359.404,463.681,437.637,1,1,1,247.2784
48402515,048400,331.594,308.614,324.216,1,1,1,339.2426
48402520,048400,511.011,407.099,468.43,1,1,1,162.0677
48402523,048400,381.927,483.225,439.77,1,1,1,316.875
48402524,048400,395.565,395.743,378.534,1,1,1,154.7279
48402531,048400,320.481,369.926,400.353,1,1,1,105.5303
48402536,048400,408.134,312.662,370.854,1,1,1,240.0164
48402560,048400,428.983,418.528,393.715,1,1,1,204.4903
48402562,048400,312.903,385.362,346.648,1,1,1,290.7794
48402568,048400,333.32,400.054,387.09,1,1,1,153.9643
48402571,048400,436.38,443.8,438.447,1,1,1,342.225
48402584,048400,311.211,420.509,404.61,1,1,1,142.1044
48402592,048400,380.966,305.61,288.116,1,1,1,153.9643
48402627,048400,393.637,484.242,450.886,1,1,1,99.96924
48402636,048400,288.347,252.098,250.251,1,1,1,162.0677
48402643,048400,353.219,385.745,387.507,1,1,1,124.7909
48402659,048400,427.464,423.974,433.697,1,1,1,222.6493
48402674,048400,370.617,394.068,284.05,1,1,1,246.7407
48402677,048400,435.74,505.194,440.741,1,1,1,195.8831
48402678,048400,292.089,402.869,392.964,1,1,1,252.4421
48402680,048400,357.516,366.894,374.26,1,1,1,124.7909
48402682,048400,384.083,388.516,389.532,1,1,1,148.0452
48402685,048400,316.572,387.195,383.754,1,1,1,316.875
48402700,048400,371.379,407.234,366.999,1,1,1,153.9643
48402709,048400,475.743,514.537,484.806,1,1,1,281.1933
48402710,048400,330.01,231.76,322.894,1,1,1,153.9643
48402740,048400,335.963,368.602,439.821,1,1,1,190.3523
48402743,048400,365.303,368.345,414.489,1,1,1,339.2426
48402747,048400,516.877,518.13,516.569,1,1,1,159.048
48402763,048400,381.27,295.365,330.474,1,1,1,143.8677
48402767,048400,332.689,362.16,341.283,1,1,1,330.7882
48402769,048400,457.051,374.118,387.361,1,1,1,175.1241
48402775,048400,405.693,396.717,395.985,1,1,1,39.5505
48402789,048400,362.604,351.662,394.119,1,1,1,165.7533
48402801,048400,308.271,364.394,327.02,1,1,1,135.1097
48402819,048400,337.704,317.373,354.712,1,1,1,190.3523
48402839,048400,306.003,342.293,301.705,1,1,1,170.1711
48402840,048400,408.28,449.854,399.407,1,1,1,281.1933
48402849,048400,360.129,380.312,405.154,1,1,1,207.6887
48402854,048400,429.192,502.57,447.897,1,1,1,304.0179
48402855,048400,337.893,359.279,380.089,1,1,1,153.9643
48402859,048400,474.216,407.866,414.447,1,1,1,195.8831
48402883,048400,285.585,331.619,320.41,1,1,1,153.9643
48402885,048400,462.531,418.16,420.309,1,1,1,285.2242
48402911,048400,420.155,417.594,430.139,1,1,1,170.1711
48402921,048400,360.093,319.857,354.655,1,1,1,175.1241
48402936,048400,267.28,405.362,347.146,1,1,1,205.0766
48402946,048400,431.838,474.804,434.027,1,1,1,304.0179
48402960,048400,370.244,430.077,390.496,1,1,1,153.9643
48402975,048400,462.262,505.657,458.75,1,1,1,153.9643
48402977,048400,319.199,253.396,332.004,1,1,1,148.0452
48402979,048400,405.302,382.477,403.565,1,1,1,285.2242
48402986,048400,377.753,337.653,336.611,1,1,1,153.9643
48402987,048400,426.261,437.105,436.203,1,1,1,204.3627
48402995,048400,458.667,470.514,468.672,1,1,1,222.6493
48403006,048400,498.37,491.018,506.256,1,1,1,204.3627
48403008,048400,256.068,382.209,347.311,1,1,1,153.9643
48403014,048400,428.111,386.425,387.482,1,1,1,285.3283
48403044,048400,529.713,513.125,519.092,1,1,1,110.5299
48403056,048400,395.978,369.711,378.499,1,1,1,285.3283
48403058,048400,317.348,260.008,319.237,1,1,1,162.9803
48403059,048400,543.034,532.38,542.086,1,1,1,153.9643
48403063,048400,308.182,365.858,336.055,1,1,1,162.0677
48403091,048400,515.265,525.832,542.396,1,1,1,157.4238
48403101,048400,307.003,342.162,377.479,1,1,1,249.1182
48403107,048400,360.023,327.1,349.964,1,1,1,339.2426
48403114,048400,231.425,328.227,324.201,1,1,1,158.9487
48403116,048400,397.311,459.548,457.051,1,1,1,207.6887
48403119,048400,408.482,521.934,454.894,1,1,1,249.1182
48403142,048400,461.725,478.284,463.717,1,1,1,153.9643
48403145,048400,446.939,425.675,484.23,1,1,1,158.9487
48403146,048400,370.618,441.508,409.227,1,1,1,285.2242
48403157,048400,402.992,324.205,394.849,1,1,1,251.6941
48403172,048400,398.491,346.153,364.427,1,1,1,154.7279
48403185,048400,276.356,312.47,290.663,1,1,1,153.9643
48403191,048400,327.863,345.907,387.864,1,1,1,234.5769
48403193,048400,387.145,356.5,345.937,1,1,1,328.0588
48403194,048400,373.899,372.212,401.94,1,1,1,290.7794
48403202,048400,346.285,422.091,414.569,1,1,1,304.0179
48403225,048400,453.302,493.762,498.909,1,1,1,290.7794
48403257,048400,495.91,437.88,458.95,1,1,1,281.1933
48403259,048400,327.016,324.808,355.671,1,1,1,162.9803
48403261,048400,285.646,341.713,347.031,1,1,1,234.5769
48403262,048400,271.934,275.481,244.31,1,1,1,139.0478
48403271,048400,377.044,414.784,413.538,1,1,1,247.2784
48403273,048400,252.16,353.963,300.739,1,1,1,207.6887
48403278,048400,426.113,397.948,359.494,1,1,1,204.3627
48403285,048400,311.767,337.978,332.849,1,1,1,170.1711
48403289,048400,364.046,376.544,395.317,1,1,1,141.4692
48403302,048400,329.947,344.262,391.23,1,1,1,99.57602
48403341,048400,476.393,479.794,471.941,1,1,1,110.5299
48403360,048400,302.614,306.876,334.051,1,1,1,261.0341
48403365,048400,426.098,434.805,420.39,1,1,1,39.5505
48403382,048400,401.176,366.916,382.06,1,1,1,153.9643
48403393,048400,309.818,315.289,330.561,1,1,1,251.6941
48403394,048400,345.804,411.07,408.554,1,1,1,139.0478
48403397,048400,468.222,515.435,537.991,1,1,1,99.57602
48403398,048400,443.458,519.191,421.12,1,1,1,221.1183
48403410,048400,343.704,448.822,357.114,1,1,1,140.2333
48403411,048400,446.615,436.685,428.821,1,1,1,313.3965
48403414,048400,487.424,518.074,477.834,1,1,1,190.8042
48403421,048400,480.023,437.592,437.641,1,1,1,190.8042
48403430,048400,282.262,318.67,372.485,1,1,1,135.3591
48403442,048400,297.871,332.378,288.238,1,1,1,154.7279
48403456,048400,410.84,408.299,414.46,1,1,1,180.5201
48403457,048400,383.067,402.318,368.75,1,1,1,153.9643
48403470,048400,351.218,360.123,356.331,1,1,1,113.5056
48403472,048400,470.832,420.374,437.54,1,1,1,195.8831
48403473,048400,460.873,453.753,421.442,1,1,1,204.4903
48403478,048400,331.56,347.971,327.074,1,1,1,342.225
48403496,048400,449.37,423.058,428.929,1,1,1,281.1933
48403508,048400,403.628,525.155,461.936,1,1,1,141.4692
48403517,048400,389.923,402.961,370.904,1,1,1,153.9643
48403554,048400,410.545,370.018,376.96,1,1,1,212.6055
48403569,048400,255.356,225.061,244.093,1,1,1,212.6055
48403571,048400,333.303,282.673,356.26,1,1,1,99.57602
48403584,048400,446.694,478.826,487.8,1,1,1,203.922
48403592,048400,250.695,298.32,199.114,1,1,1,261.0341
48403593,048400,353.088,325.09,344.007,1,1,1,110.5299
48403594,048400,415.931,427.3,424.748,1,1,1,190.8042
48403608,048400,362.676,391.065,368.166,1,1,1,99.96924
48403615,048400,270.008,320.082,254.288,1,1,1,152.0796
48403621,048400,331.151,398.26,361.78,1,1,1,195.8831
48403623,048400,231.191,225.01,225.135,1,1,1,158.9487
48403662,048400,371.383,370.764,387.142,1,1,1,212.6055
48403663,048400,351.505,238.281,327.86,1,1,1,143.8677
48403664,048400,349.629,399.054,354.261,1,1,1,142.0532
48403692,048400,298.73,366.378,301.769,1,1,1,207.6887
48403702,048400,494.827,534.847,501.311,1,1,1,142.1044
48403705,048400,430.413,474.653,491.929,1,1,1,212.6055
48403714,048400,470.245,470.357,481.328,1,1,1,204.3627
48403731,048400,310.253,384.357,361.386,1,1,1,316.875
48403740,048400,187.816,267.592,265.109,1,1,1,153.9643
48403743,048400,364.883,401.804,403.164,1,1,1,205.0766
48403749,048400,309.929,342.58,340.176,1,1,1,333.8572
48403754,048400,420.287,399.162,379.335,1,1,1,201.7081
48403767,048400,404.642,438.618,449.581,1,1,1,99.57602
48403784,048400,486.178,490.651,450.031,1,1,1,285.2242
48403793,048400,372.332,419.736,459.529,1,1,1,153.9643
48403797,048400,347.229,386.407,332.686,1,1,1,153.9643
48403828,048400,320.815,388.009,363.456,1,1,1,99.57602
48403832,048400,429.35,479.293,488.434,1,1,1,285.2242
48403841,048400,536.132,508.537,582.319,1,1,1,124.7909
48403844,048400,507.331,498.249,508.091,1,1,1,285.2242
48403868,048400,421.296,502.208,372.397,1,1,1,190.8042
48403869,048400,200.494,322.667,285.873,1,1,1,249.1182
48403875,048400,343.372,370.997,351.293,1,1,1,35.03068
48403880,048400,242.535,334.017,347.53,1,1,1,328.0588
48403882,048400,430.486,360.025,425.988,1,1,1,153.9643
48403889,048400,319.657,246.39,339.71,1,1,1,234.5769
48403890,048400,409.613,418.244,400.059,1,1,1,316.875
48403895,048400,347.14,313.255,358.376,1,1,1,207.6887
48403896,048400,459.067,492.879,461.243,1,1,1,246.7407
48403898,048400,426.98,422.934,417.2,1,1,1,143.8677
48403901,048400,513.978,500.333,550.642,1,1,1,204.3627
48403929,048400,451.3,457,451.499,1,1,1,141.753
48403937,048400,241.366,277.957,260.266,1,1,1,328.0588
48403953,048400,429.262,388.825,421.371,1,1,1,143.8677
48404002,048400,312.354,313.374,306.426,1,1,1,190.3523
48404006,048400,447.569,554.944,497.675,1,1,1,153.9643
48404007,048400,431.163,444.305,386.022,1,1,1,110.5299
48404010,048400,420.928,361.973,424.709,1,1,1,99.57602
48404027,048400,450.039,519.662,432.989,1,1,1,290.7794
48404029,048400,414.541,444.368,465.959,1,1,1,246.7407
48404040,048400,363.713,458.168,404.98,1,1,1,222.6493
48404050,048400,482.121,462.539,449.583,1,1,1,101.7544
48404052,048400,476.234,424.259,416.355,1,1,1,204.4903
48404053,048400,477.706,445.582,432.123,1,1,1,195.8831
48404069,048400,351.444,451.165,412.383,1,1,1,249.1182
48404072,048400,407.417,421.3,397.483,1,1,1,281.1933
48404092,048400,508.804,512.941,487.965,1,1,1,203.922
48404095,048400,513.936,472.957,472.712,1,1,1,212.6055
48404102,048400,560.244,533.715,627.986,1,1,1,285.2242
48404123,048400,250.553,320.09,284.307,1,1,1,173.4277
48404139,048400,413.716,444.31,423.499,1,1,1,205.0766
48404143,048400,224.029,326.302,270.886,1,1,1,246.7407
48404154,048400,392.013,421.092,390.266,1,1,1,240.0164
48404160,048400,378.66,418.52,377.893,1,1,1,135.3591
48404161,048400,169.334,335.893,299.806,1,1,1,221.1183
48404176,048400,346.463,340.182,367.215,1,1,1,154.7279
48404177,048400,543.575,541.55,510.011,1,1,1,207.6887
48404179,048400,377.292,386.9,417.029,1,1,1,110.5299
48404182,048400,534.463,567.808,581.069,1,1,1,290.7794
48404183,048400,315.872,325.323,325.751,1,1,1,153.9643
48404189,048400,452.001,438.633,471.012,1,1,1,234.5769
48404196,048400,403.719,401.042,309.878,1,1,1,221.1183
48404206,048400,389.579,443.177,387.517,1,1,1,222.6493
48404211,048400,437.646,461.618,454.286,1,1,1,285.2242
48404215,048400,357.01,420.149,399.907,1,1,1,141.4692
48404216,048400,370.902,382.885,366.462,1,1,1,285.2242
48404220,048400,380.474,380.665,362.458,1,1,1,285.2242
48404229,048400,281.266,360.738,309.511,1,1,1,207.6887
48404232,048400,374.551,302.632,332.287,1,1,1,203.922
48404244,048400,413.452,498.687,489.172,1,1,1,207.6887
48404270,048400,550.406,547.498,514.255,1,1,1,204.4903
48404271,048400,294.207,275.597,306.271,1,1,1,287.2054
48404275,048400,282.65,378.762,338.402,1,1,1,158.9487
48404287,048400,389.53,424.392,416.461,1,1,1,158.0687
48404290,048400,426.563,392.286,418.022,1,1,1,146.2412
48404322,048400,382.805,355.75,346.806,1,1,1,287.2054
48404349,048400,507.55,528.465,496.854,1,1,1,140.2333
